Afrotyphlops kaimosae,4.0,R
Afrotyphlops liberiensis,512.0,R
Afrotyphlops lineolatus,224.0,R
Afrotyphlops manni,27.0,R
Afrotyphlops mucruso,966.0,R
Afrotyphlops nanus,1.0,R
Afrotyphlops nigrocandidus,149.0,R
Afrotyphlops obtusus,30.0,R
Afrotyphlops punctatus,252.0,R
Afrotyphlops rondoensis,30.0,R
Afrotyphlops schlegelii,791.0,R
Afrotyphlops schmidti,182.0,R
Afrotyphlops steinhausi,200.0,R
Afrotyphlops tanganicanus,36.0,R
Afrotyphlops usambaricus,182.0,R
Agalychnis annae,74.0,A
Agalychnis callidryas,12.0,A
Agalychnis dacnicolor,71.0,A
Agalychnis lemur,7.24687900365,A
Agalychnis moreletii,31.0,A
Agalychnis saltator,47.0,A
Agalychnis spurrelli,70.0,A
Agama aculeata,54.0,R
Agama africana,59.0,R
Agama agama,118.0,R
Agama anchietae,95.0,R
Agama armata,28.0,R
Agama atra,95.0,R
Agama bocourti,17.0,R
Agama boensis,17.0,R
Agama bottegi,59.0,R
Agama boueti,45.0,R
Agama boulengeri,95.0,R
Agama caudospinosa,158.0,R
Agama cristata,76.0,R
Agama doriae,52.0,R
Agama etoshae,14.0,R
Agama finchi,56.0,R
Agama gracilimembris,6.0,R
Agama hartmanni,26.0,R
Agama hispida,83.0,R
Agama hulbertorum,20.0,R
Agama impalearis,83.0,R
Agama insularis,64.0,R
Agama kaimosae,104.0,R
Agama kirkii,52.0,R
Agama knobeli,45.0,R
Agama lanzai,36.0,R
Agama lebretoni,99.0,R
Agama lionotus,106.0,R
Agama lucyae,6.0,R
Agama montana,28.0,R
Agama mossambica,59.0,R
Agama mucosoensis,69.0,R
Agama mwanzae,144.0,R
Agama parafricana,34.0,R
Agama paragama,45.0,R
Agama persimilis,8.0,R
Agama planiceps,113.0,R
Agama robecchii,89.0,R
Agama rueppelli,29.0,R
Agama sankaranica,20.0,R
Agama somalica,36.0,R
Agama spinosa,69.0,R
Agama sylvana,39.0,R
Agama tassiliensis,83.0,R
Agama turuensis,95.0,R
Agama weidholzi,9.0,R
Agamia agami,566.99,B
Agamodon anguliceps,8.0,R
Agamodon arabicus,2.0,R
Agamodon compressus,1.0,R
Agamura persica,9.0,R
Agapornis canus,30.0,B
Agapornis fischeri,48.3,B
Agapornis lilianae,37.3,B
Agapornis nigrigenis,40.5,B
Agapornis personatus,52.38,B
Agapornis pullarius,39.3,B
Agapornis roseicollis,53.83,B
Agapornis swindernianus,39.98,B
Agapornis taranta,57.48,B
Agelaioides badius,45.25,B
Agelaius assimilis,47.68,B
Agelaius humeralis,36.29,B
Agelaius phoeniceus,50.78,B
Agelaius tricolor,57.92,B
Agelaius xanthomus,38.4,B
Agelastes meleagrides,815.0,B
Agelastes niger,699.99,B
Agelasticus cyanopus,37.21,B
Agelasticus thilius,31.5,B
Agelasticus xanthophthalmus,45.1,B
Agkistrodon bilineatus,1330.0,R
Agkistrodon contortrix,1247.0,R
Agkistrodon howardgloydi,462.0,R
Agkistrodon piscivorus,3334.0,R
Agkistrodon russeolus,601.0,R
Agkistrodon taylori,462.0,R
Aglaeactis aliciae,7.8,B
Aglaeactis castelnaudii,6.7,B
Aglaeactis cupripennis,7.6,B
Aglaeactis pamela,5.5,B
Aglaiocercus berlepschi,4.97,B
Aglaiocercus coelestis,5.61,B
Aglaiocercus kingi,4.84,B
Aglyptodactylus laticeps,8.72165131797,A
Aglyptodactylus madagascariensis,18.7863863277,A
Aglyptodactylus securifer,5.02989835418,A
Agouti paca,8180.0,M
Agouti taczanowskii,9000.0,M
Agriornis albicauda,53.0,B
Agriornis lividus,99.1,B
Agriornis micropterus,67.79,B
Agriornis montanus,63.3,B
Agriornis murinus,29.9,B
Ahaetulla dispar,64.0,R
Ahaetulla fasciolata,445.0,R
Ahaetulla fronticincta,111.0,R
Ahaetulla mycterizans,143.0,R
Ahaetulla nasuta,681.0,R
Ahaetulla perroteti,31.0,R
Ahaetulla prasina,656.0,R
Ahaetulla pulverulenta,471.0,R
Ailuroedus buccoides,138.0,B
Ailuroedus crassirostris,205.32,B
Ailuroedus melanotis,176.89,B
Ailuronyx seychellensis,29.0,R
Ailuronyx tachyscopaeus,12.0,R
Ailuronyx trachygaster,85.0,R
Ailuropoda melanoleuca,114799.996667,M
Ailurops melanotis,10000.0,M
Ailurops ursinus,10000.0,M
Ailurus fulgens,5080.02666667,M
Aimophila aestivalis,19.56,B
Aimophila botterii,19.9,B
Aimophila carpalis,15.3,B
Aimophila cassinii,18.9,B
Aimophila humeralis,23.9,B
Aimophila mystacalis,22.2,B
Aimophila notosticta,27.1,B
Aimophila quinquestriata,19.53,B
Aimophila rufescens,34.3,B
Aimophila ruficauda,28.2,B
Aimophila ruficeps,18.69,B
Aimophila stolzmanni,25.57,B
Aimophila strigiceps,22.2,B
Aimophila sumichrasti,29.43,B
Aipysurus apraefrontalis,74.0,R
Aipysurus duboisii,107.0,R
Aipysurus eydouxii,252.0,R
Aipysurus foliosquama,74.0,R
Aipysurus fuscus,74.0,R
Aipysurus laevis,1340.0,R
Aipysurus mosaicus,168.0,R
Aipysurus tenuis,265.0,R
Aix galericulata,567.04,B
Aix sponsa,657.59,B
Akodon aerosus,59.9966666667,M
Akodon affinis,24.8966666667,M
Akodon albiventer,24.5833333333,M
Akodon aliquantulus,31.32,M
Akodon azarae,25.19,M
Akodon bogotensis,12.9966666667,M
Akodon boliviensis,27.5,M
Akodon budini,26.9,M
Akodon cursor,39.83,M
Akodon dayi,32.4966666667,M
Akodon dolores,50.4966666667,M
Akodon fumeus,22.6966666667,M
Akodon illuteus,47.8,M
Akodon iniscatus,28.7,M
Akodon juninensis,38.9966666667,M
Akodon kempi,26.4,M
Akodon kofordi,29.4966666667,M
Akodon lanosus,27.9,M
Akodon latebricola,38.9966666667,M
Akodon leucolimnaeus,31.32,M
